Aggregated Expert Statistics (decay=0.99999)
Total Token Selections: 3532800

|   Expert | Avg EMA (%)   |   Active Layers |   Total Hits | Selection (%)   |
|---------:|:--------------|----------------:|-------------:|:----------------|
|        2 | 0.04%         |              48 |       391107 | 11.07%          |
|        4 | 0.04%         |              48 |       390664 | 11.06%          |
|        3 | 0.05%         |              46 |       390479 | 11.05%          |
|        6 | 0.04%         |              48 |       390213 | 11.05%          |
|        7 | 0.04%         |              48 |       388784 | 11.00%          |
|        0 | 0.04%         |              48 |       388364 | 10.99%          |
|        5 | 0.04%         |              47 |       387666 | 10.97%          |
|        1 | 0.04%         |              48 |       387587 | 10.97%          |
|      104 | 0.00%         |              19 |         9095 | 0.26%           |
|       82 | 0.00%         |              20 |         8065 | 0.23%           |
|       76 | 0.00%         |              18 |         7455 | 0.21%           |
|       16 | 0.00%         |              21 |         7331 | 0.21%           |
|       47 | 0.00%         |              23 |         7237 | 0.20%           |
|      122 | 0.00%         |              20 |         7112 | 0.20%           |
|       48 | 0.00%         |              19 |         7030 | 0.20%           |
|      127 | 0.00%         |              15 |         6946 | 0.20%           |
|       60 | 0.00%         |              21 |         6208 | 0.18%           |
|       84 | 0.00%         |              21 |         6130 | 0.17%           |
|      105 | 0.00%         |              18 |         5882 | 0.17%           |
|       24 | 0.00%         |              23 |         5858 | 0.17%           |
|       77 | 0.00%         |              18 |         5772 | 0.16%           |
|       99 | 0.00%         |              20 |         5707 | 0.16%           |
|      115 | 0.00%         |              18 |         5605 | 0.16%           |
|       73 | 0.00%         |              19 |         5577 | 0.16%           |
|       70 | 0.00%         |              22 |         5530 | 0.16%           |
|       59 | 0.00%         |              22 |         5512 | 0.16%           |
|       65 | 0.00%         |              21 |         5314 | 0.15%           |
|      119 | 0.00%         |              18 |         5067 | 0.14%           |
|      114 | 0.00%         |              18 |         4931 | 0.14%           |
|       91 | 0.00%         |              20 |         4840 | 0.14%           |
|       34 | 0.00%         |              23 |         4562 | 0.13%           |
|      112 | 0.00%         |              18 |         4537 | 0.13%           |
|       52 | 0.00%         |              24 |         4442 | 0.13%           |
|      124 | 0.00%         |              23 |         4418 | 0.13%           |
|      107 | 0.00%         |              18 |         4392 | 0.12%           |
|       86 | 0.00%         |              18 |         4300 | 0.12%           |
|       93 | 0.00%         |              18 |         4270 | 0.12%           |
|       10 | 0.00%         |              21 |         4251 | 0.12%           |
|       67 | 0.00%         |              20 |         4174 | 0.12%           |
|        9 | 0.00%         |              22 |         4132 | 0.12%           |
|       64 | 0.00%         |              19 |         4118 | 0.12%           |
|       11 | 0.00%         |              20 |         4089 | 0.12%           |
|       38 | 0.00%         |              20 |         4024 | 0.11%           |
|      125 | 0.00%         |              22 |         3977 | 0.11%           |
|      120 | 0.00%         |              19 |         3958 | 0.11%           |
|       50 | 0.00%         |              18 |         3914 | 0.11%           |
|       88 | 0.00%         |              16 |         3911 | 0.11%           |
|       87 | 0.00%         |              19 |         3863 | 0.11%           |
|       30 | 0.00%         |              22 |         3841 | 0.11%           |
|       53 | 0.00%         |              21 |         3836 | 0.11%           |
|       81 | 0.00%         |              25 |         3812 | 0.11%           |
|       61 | 0.00%         |              18 |         3795 | 0.11%           |
|      121 | 0.00%         |              20 |         3781 | 0.11%           |
|       40 | 0.00%         |              19 |         3765 | 0.11%           |
|      109 | 0.00%         |              23 |         3762 | 0.11%           |
|       79 | 0.00%         |              18 |         3648 | 0.10%           |
|       95 | 0.00%         |              17 |         3596 | 0.10%           |
|       80 | 0.00%         |              21 |         3579 | 0.10%           |
|       46 | 0.00%         |              20 |         3573 | 0.10%           |
|       63 | 0.00%         |              22 |         3533 | 0.10%           |
|       62 | 0.00%         |              22 |         3430 | 0.10%           |
|       69 | 0.00%         |              20 |         3429 | 0.10%           |
|       19 | 0.00%         |              18 |         3424 | 0.10%           |
|      103 | 0.00%         |              18 |         3418 | 0.10%           |
|       90 | 0.00%         |              18 |         3412 | 0.10%           |
|       12 | 0.00%         |              21 |         3323 | 0.09%           |
|       41 | 0.00%         |              21 |         3320 | 0.09%           |
|      123 | 0.00%         |              21 |         3267 | 0.09%           |
|      126 | 0.00%         |              17 |         3250 | 0.09%           |
|       94 | 0.00%         |              22 |         3244 | 0.09%           |
|       13 | 0.00%         |              21 |         3240 | 0.09%           |
|      106 | 0.00%         |              16 |         3170 | 0.09%           |
|       75 | 0.00%         |              19 |         3162 | 0.09%           |
|       85 | 0.00%         |              23 |         3135 | 0.09%           |
|       32 | 0.00%         |              24 |         2981 | 0.08%           |
|      116 | 0.00%         |              20 |         2979 | 0.08%           |
|       72 | 0.00%         |              21 |         2924 | 0.08%           |
|       28 | 0.00%         |              21 |         2813 | 0.08%           |
|       57 | 0.00%         |              20 |         2792 | 0.08%           |
|       45 | 0.00%         |              16 |         2774 | 0.08%           |
|       29 | 0.00%         |              21 |         2773 | 0.08%           |
|      100 | 0.00%         |              22 |         2712 | 0.08%           |
|       89 | 0.00%         |              19 |         2707 | 0.08%           |
|       98 | 0.00%         |              20 |         2671 | 0.08%           |
|      101 | 0.00%         |              20 |         2666 | 0.08%           |
|       14 | 0.00%         |              17 |         2650 | 0.08%           |
|       92 | 0.00%         |              18 |         2621 | 0.07%           |
|       31 | 0.00%         |              20 |         2583 | 0.07%           |
|       51 | 0.00%         |              19 |         2531 | 0.07%           |
|       37 | 0.00%         |              20 |         2493 | 0.07%           |
|       78 | 0.00%         |              21 |         2481 | 0.07%           |
|       55 | 0.00%         |              20 |         2459 | 0.07%           |
|       97 | 0.00%         |              20 |         2456 | 0.07%           |
|      102 | 0.00%         |              21 |         2441 | 0.07%           |
|      113 | 0.00%         |              19 |         2397 | 0.07%           |
|       26 | 0.00%         |              26 |         2360 | 0.07%           |
|       49 | 0.00%         |              22 |         2269 | 0.06%           |
|       23 | 0.00%         |              19 |         2238 | 0.06%           |
|       68 | 0.00%         |              19 |         2205 | 0.06%           |
|       15 | 0.00%         |              19 |         2185 | 0.06%           |
|       22 | 0.00%         |              19 |         2185 | 0.06%           |
|       21 | 0.00%         |              19 |         2124 | 0.06%           |
|      117 | 0.00%         |              23 |         2096 | 0.06%           |
|      118 | 0.00%         |              18 |         2079 | 0.06%           |
|       66 | 0.00%         |              17 |         2068 | 0.06%           |
|       58 | 0.00%         |              19 |         2003 | 0.06%           |
|       74 | 0.00%         |              23 |         1985 | 0.06%           |
|       18 | 0.00%         |              20 |         1983 | 0.06%           |
|       27 | 0.00%         |              17 |         1962 | 0.06%           |
|       20 | 0.00%         |              20 |         1906 | 0.05%           |
|       56 | 0.00%         |              18 |         1863 | 0.05%           |
|       25 | 0.00%         |              21 |         1848 | 0.05%           |
|       96 | 0.00%         |              18 |         1844 | 0.05%           |
|       54 | 0.00%         |              18 |         1824 | 0.05%           |
|      111 | 0.00%         |              24 |         1822 | 0.05%           |
|       33 | 0.00%         |              21 |         1799 | 0.05%           |
|       83 | 0.00%         |              18 |         1700 | 0.05%           |
|       39 | 0.00%         |              24 |         1566 | 0.04%           |
|        8 | 0.00%         |              23 |         1468 | 0.04%           |
|       44 | 0.00%         |              14 |         1451 | 0.04%           |
|       71 | 0.00%         |              15 |         1413 | 0.04%           |
|       17 | 0.00%         |              13 |         1325 | 0.04%           |
|      108 | 0.00%         |              22 |         1324 | 0.04%           |
|      110 | 0.00%         |              19 |         1240 | 0.04%           |
|       36 | 0.00%         |              21 |         1236 | 0.03%           |
|       42 | 0.00%         |              20 |          900 | 0.03%           |
|       43 | 0.00%         |              16 |          772 | 0.02%           |
|       35 | 0.00%         |              22 |          708 | 0.02%           |
