Layer 2, EMA(decay=0.99999)
Token Selections: 73600
Router Entropy (avg): 6.0118 bits
Top-k Confidence (avg): 0.125000
Load-Balance CV: 1.1030

Expert 47: EMA=0.02%  Hits=4237
Expert 127: EMA=0.02%  Hits=3066
Expert 95: EMA=0.01%  Hits=2301
Expert 82: EMA=0.01%  Hits=2229
Expert 40: EMA=0.01%  Hits=2309
Expert 2: EMA=0.01%  Hits=1765
Expert 93: EMA=0.01%  Hits=1697
Expert 41: EMA=0.01%  Hits=1687
Expert 64: EMA=0.01%  Hits=1676
Expert 125: EMA=0.01%  Hits=1808
Expert 4: EMA=0.01%  Hits=1773
Expert 60: EMA=0.01%  Hits=1536
Expert 16: EMA=0.01%  Hits=1439
Expert 80: EMA=0.01%  Hits=1202
Expert 48: EMA=0.01%  Hits=1159
Expert 99: EMA=0.01%  Hits=1064
Expert 91: EMA=0.01%  Hits=1109
Expert 100: EMA=0.01%  Hits=1145
Expert 122: EMA=0.01%  Hits=1126
Expert 51: EMA=0.01%  Hits=1149
Expert 15: EMA=0.01%  Hits=1016
Expert 76: EMA=0.01%  Hits=1112
Expert 50: EMA=0.01%  Hits=981
Expert 38: EMA=0.01%  Hits=849
Expert 115: EMA=0.01%  Hits=899
Expert 123: EMA=0.00%  Hits=999
Expert 14: EMA=0.00%  Hits=866
Expert 46: EMA=0.00%  Hits=820
Expert 7: EMA=0.00%  Hits=786
Expert 49: EMA=0.00%  Hits=942
Expert 90: EMA=0.00%  Hits=793
Expert 117: EMA=0.00%  Hits=767
Expert 9: EMA=0.00%  Hits=732
Expert 12: EMA=0.00%  Hits=660
Expert 116: EMA=0.00%  Hits=751
Expert 78: EMA=0.00%  Hits=568
Expert 52: EMA=0.00%  Hits=764
Expert 119: EMA=0.00%  Hits=706
Expert 57: EMA=0.00%  Hits=607
Expert 85: EMA=0.00%  Hits=745
Expert 104: EMA=0.00%  Hits=702
Expert 88: EMA=0.00%  Hits=724
Expert 59: EMA=0.00%  Hits=583
Expert 67: EMA=0.00%  Hits=752
Expert 73: EMA=0.00%  Hits=601
Expert 77: EMA=0.00%  Hits=534
Expert 8: EMA=0.00%  Hits=618
Expert 6: EMA=0.00%  Hits=595
Expert 102: EMA=0.00%  Hits=477
Expert 103: EMA=0.00%  Hits=486
Expert 0: EMA=0.00%  Hits=540
Expert 84: EMA=0.00%  Hits=508
Expert 68: EMA=0.00%  Hits=559
Expert 89: EMA=0.00%  Hits=427
Expert 126: EMA=0.00%  Hits=535
Expert 92: EMA=0.00%  Hits=402
Expert 109: EMA=0.00%  Hits=410
Expert 81: EMA=0.00%  Hits=420
Expert 65: EMA=0.00%  Hits=476
Expert 70: EMA=0.00%  Hits=437
Expert 45: EMA=0.00%  Hits=459
Expert 32: EMA=0.00%  Hits=388
Expert 63: EMA=0.00%  Hits=415
Expert 69: EMA=0.00%  Hits=439
Expert 10: EMA=0.00%  Hits=379
Expert 87: EMA=0.00%  Hits=396
Expert 61: EMA=0.00%  Hits=298
Expert 97: EMA=0.00%  Hits=384
Expert 121: EMA=0.00%  Hits=371
Expert 120: EMA=0.00%  Hits=353
Expert 94: EMA=0.00%  Hits=421
Expert 107: EMA=0.00%  Hits=356
Expert 44: EMA=0.00%  Hits=342
Expert 25: EMA=0.00%  Hits=338
Expert 74: EMA=0.00%  Hits=331
Expert 118: EMA=0.00%  Hits=312
Expert 62: EMA=0.00%  Hits=339
Expert 53: EMA=0.00%  Hits=463
Expert 54: EMA=0.00%  Hits=331
Expert 30: EMA=0.00%  Hits=252
Expert 33: EMA=0.00%  Hits=217
Expert 23: EMA=0.00%  Hits=272
Expert 24: EMA=0.00%  Hits=278
Expert 112: EMA=0.00%  Hits=254
Expert 124: EMA=0.00%  Hits=175
Expert 5: EMA=0.00%  Hits=164
Expert 22: EMA=0.00%  Hits=176
Expert 17: EMA=0.00%  Hits=171
Expert 113: EMA=0.00%  Hits=116
Expert 111: EMA=0.00%  Hits=162
Expert 27: EMA=0.00%  Hits=158
Expert 98: EMA=0.00%  Hits=128
Expert 55: EMA=0.00%  Hits=143
Expert 37: EMA=0.00%  Hits=148
Expert 86: EMA=0.00%  Hits=116
Expert 18: EMA=0.00%  Hits=137
Expert 36: EMA=0.00%  Hits=80
Expert 66: EMA=0.00%  Hits=83
Expert 72: EMA=0.00%  Hits=49
Expert 108: EMA=0.00%  Hits=46
Expert 29: EMA=0.00%  Hits=63
Expert 83: EMA=0.00%  Hits=42
Expert 20: EMA=0.00%  Hits=56
Expert 13: EMA=0.00%  Hits=47
Expert 101: EMA=0.00%  Hits=43
Expert 106: EMA=0.00%  Hits=43
Expert 42: EMA=0.00%  Hits=30
Expert 71: EMA=0.00%  Hits=38
Expert 75: EMA=0.00%  Hits=36
Expert 31: EMA=0.00%  Hits=30
Expert 96: EMA=0.00%  Hits=24
Expert 28: EMA=0.00%  Hits=12
Expert 21: EMA=0.00%  Hits=27
Expert 1: EMA=0.00%  Hits=12
Expert 11: EMA=0.00%  Hits=5
Expert 39: EMA=0.00%  Hits=6
Expert 110: EMA=0.00%  Hits=8
Expert 43: EMA=0.00%  Hits=3
Expert 58: EMA=0.00%  Hits=3
Expert 56: EMA=0.00%  Hits=2
Expert 34: EMA=0.00%  Hits=2
Expert 26: EMA=0.00%  Hits=1
Expert 35: EMA=0.00%  Hits=1
